Name,Price,Rating
"Noise Buds F1, 50H playtime, Matte finish Case, Quad Mi...",1199,3.9
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",799,4.0
"ZEBRONICS BRO With In-Line Mic 3.5mm Jack, 10mm drivers...",133,3.7
MZ NB111 (Wireless Headphone) Magnetic Neckband 250h st...,210,3.8
Caidea TW101 Earth 32dB Active Noise Cancellation 60H* ...,599,3.7
TRIGGR Blaze 3.5mm Jack Wired Earphones with 13mm Drive...,129,3.7
boAt boAt Bassheads 100 Wired Earphones Wired,348,4.3
BULLSTORM BS ultrapood Bluetooth Gaming,297,3.4
"ZEBRONICS Zeb-Buds 50C, Type-C, In-Line Mic, 14mm Drive...",299,3.6
"Mivi DuoPods Blaze [New launch], AI-ENC, 60 Hrs, 13mm D...",699,4.2
"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...",1199,4.1
TECHIO Earbuds Bluetooth,269,3.3
TECHIO Ultrapods tws earbuds ENC Series Long Battery Li...,279,3.4
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",799,4.0
"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...",1199,4.1
BULLSTORM ULTRAPOD PINK Bluetooth,273,3.4
"Aroma NB120 Amaze Upto 50 Hrs* Playtime, Dual Pairing F...",261,3.7
"TRIGGR Ultrabuds N4 with Premium Finish, Rubber Grip De...",599,4.0
"TRIGGR Rizz with 40H Playback, Spherical Design, 13mm D...",699,4.0
"TECHIO 13mm Drivers, Clear Bass, Noise Cancellation, Vo...",274,3.4
realme Buds 3 wired Wired,599,4.3
Apple EarPods (USB-C) Wired,1649,4.4
"Number Navo Buds X1 w/ 50H Playtime,Dual Pairing,13mm S...",599,3.8
"GOBOULT EQCharge 32Hrs Battery, Clear Calling ENC Mic, ...",699,4.0
PRODART ORIGINAL EHS61 Deep Bass Sound Wired,193,4.0
myxes New Edition TWS M19 Gaming Earbuds Bluetooth 5.0 ...,299,3.6
"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",899,4.0
Ucool 100 Hours Playtime SPORT Wireless Neckband headph...,299,3.8
"boAt Rockerz 110 with 40 HRS Playback, ENx Technology, ...",899,4.1
"Aroma NB119 Titanium Pro Upto 100 Hr Playtime*,ENC,Fast...",499,4.0
TECHIO Black Earbuds | True Wireless Stereo | Noise Can...,257,3.6
"GOBOULT W60 with 60Hrs Battery Life, 4 Mic ENC, Pocket ...",999,4.3
"Noise Buds UNO, 40Hrs Playtime, Quad Mic with ENC, Prem...",1399,4.1
Portronics Conch Theta A 3.5mm Earphone With HD Quality...,259,4.2
"Mozu Audiology 100, L Shape Jack, Volume Controller, Bu...",238,4.0
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",799,4.0
"Mivi DuoPods Blaze [New launch], AI-ENC, 60 Hrs, 13mm D...",699,4.2
"boAt boAt BassHeads 211,10mm Drivers, Signature Sound, ...",299,4.1
JBL C150SI with One Button Universal Remote Wired,599,4.2
"PTron Bassstrings Neo with 34hrs Playtime,Clear Calls,1...",499,4.0
"GOBOULT Fcharge with 40H Battery, ENC Mic, Fast Chargin...",799,3.9
"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...",1199,4.1
TRIGGR Blaze 3.5mm Jack Wired Earphones with 13mm Drive...,129,3.7
"boAt Rockerz 255 Pro+, 60H Battery, ASAP Charge, Stream...",1299,4.2
"boAt Rockerz 110 with 40 HRS Playback, ENx Technology, ...",899,4.2
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",799,4.0
"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...",1199,4.1
"GOBOULT Astra Neo 70Hrs Playtime, 4 Mic ENC, BT 5.4, Co...",1099,4.1
OnePlus Nord Buds 2r in Ear Earbuds with Dual Mic & AI ...,1699,4.4
JBL C50HI Wired,447,4.0
TECHFIRE 500v2 Neckband hi-bass Wireless Bluetooth head...,269,3.8
"Aroma NB120 Amaze Upto 50 Hours* Playtime, Fast Chargin...",499,3.7
"TRIGGR Ultrabuds N4 with Premium Finish, Rubber Grip De...",599,4.0
Frontech EF-0081BLU Earphone Deep Bass HD Audio | 3.5mm...,234,3.9
Aroma NB121 Pods Upto 40 Hours Playtime* Type C Fast Ch...,499,3.6
"Caidea TW103 Ray Upto 60H Playtime*, ENC, Fast Charging...",373,3.7
"TRIGGR Rizz with 40H Playback, Spherical Design, 13mm D...",699,4.0
PRODART Original EHS61 Deep Bass with Sound Cancellatio...,179,4.0
BULLSTORM Ultrapods Bluetooth,274,3.5
"HOPPUP Xo6 Gaming Earbuds with 35MS Low Latency, RGB LE...",799,4.1
boAt boAt Bassheads 104 Wired Earphones Wired,349,4.1
Aroma NB119 Titanium - 48 Hours Playtime Neckband Bluet...,499,4.0
"GOBOULT W60 with 60Hrs Battery Life, 4 Mic ENC, Pocket ...",999,4.3
itel IEP-K9 Wired,171,3.7
PROWARP Original EHS61 Deep Bass with Sound Cancellatio...,193,4.0
"Number Navo Buds X1 w/ 50H Playtime,Dual Pairing,13mm S...",599,3.8
"Noise Buds UNO, 40Hrs Playtime, Quad Mic with ENC, Prem...",1399,4.1
"Aroma NB119 TItanium Pro Upto 100 Hr Playtime*,ENC,Fast...",499,4.0
OPPO Enco Buds3 Pro+ with ANC Bluetooth,2099,4.3
"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...",1299,4.3
"Portronics Conch Sigma C in Ear Type C Wired Earphones,...",299,4.0
"GOBOULT EQCharge 32Hrs Battery, Clear Calling ENC Mic, ...",699,4.0
"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",899,4.0
Portronics Conch Theta C Type C Wired Earphone With HD ...,299,4.1
"GOBOULT Loop2 with 10mm Drivers, BoomX Rich Bass, In-li...",329,4.0
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",799,4.0
"Mivi DuoPods Blaze [New launch], AI-ENC, 60 Hrs, 13mm D...",699,4.2
"boAt Airdopes 161/163,ASAP Charge,40 H Battery, Stream ...",1099,4.0
"Aroma NB119 Titanium Upto 48Hr Playtime*, Fast Charging...",499,4.0
HOUSE OF SOUND T-12 MAX Bluetooth,292,3.4
HOUSE OF SOUND T-12 Wireless|Music Earbuds Bluetooth,297,2.6
"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...",1199,4.1
TRIGGR Blaze 3.5mm Jack Wired Earphones with 13mm Drive...,129,3.7
boAt boAt Bassheads 220 Wired Earphones Wired,499,4.2
"boAt Airdopes 161, Adv 4Mic ENx, 50H Battery,Fast Charg...",999,4.0
"Noise Buds F1, 50H playtime, Matte finish Case, Quad Mi...",1199,3.9
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",799,4.0
"boAt Airdopes Alpha,35H Battery, 13mm Drivers,ENx, Stre...",899,4.0
HOUSE OF SOUND T_12 EARBUDS Bluetooth Gaming,414,3.7
TECHIO ultrapood Wireless Music Headset Best in Sound B...,285,3.0
"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...",1299,4.3
"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...",1199,4.1
"Aroma NB120 Amaze Upto 50 Hours* Playtime, Fast Chargin...",499,3.7
Aroma NB119D Dream Upto 60 Hours Playtime* Dual Pairing...,499,3.7
SpinBot BattleBudz C30 Type-C Gaming Earphones with Gam...,748,3.7
"TRIGGR Ultrabuds N4 with Premium Finish, Rubber Grip De...",599,4.0
"Caidea TW103 Ray Upto 60H Playtime*, ENC, Fast Charging...",373,3.7
amaq M66-EARPHONE Wired,215,3.5
"boAt Bassheads 100 C w/ Type-c Jack, boAt Signature Sou...",549,4.3
"HOPPUP Predator Xo1 Gaming Earbuds with 50H Playtime,13...",699,4.1
"boAt Airdopes 71,40 H Battery, ENx Tech, Low Latency, S...",999,3.9
"GOBOULT W60 with 60Hrs Battery Life, 4 Mic ENC, Pocket ...",999,4.3
Aroma NB119 Titanium - 48 Hours Playtime Neckband Bluet...,499,4.0
"realme Buds T310 with 12.4mm Driver, 46dB ANC, Spatial ...",2199,4.3
"boAt Airdopes Alpha,35H Battery, 13mm Drivers,ENx, Stre...",899,4.0
"TRIGGR Rizz with 40H Playback, Spherical Design, 13mm D...",699,4.0
"Number Navo Buds X1 w/ 50H Playtime,Dual Pairing,13mm S...",599,3.8
"boAt Airdopes Alpha Gen 2, 13mm Drivers,ENx,45H Battery...",999,3.8
Aroma NB126 Aster V5.4 Upto 50Hr Playtime* 45Ms Latency...,799,3.8
"boAt Airdopes 161/163,ASAP Charge,40 H Battery, Stream ...",1099,4.0
boAt boAt Bassheads 100 Wired Earphones Wired,348,4.3
"GOBOULT EQCharge 32Hrs Battery, Clear Calling ENC Mic, ...",699,4.0
"Noise Buds UNO, 40Hrs Playtime, Quad Mic with ENC, Prem...",1399,4.1
BULLSTORM BS ultrapood Best Sound Bluetooth,288,3.6
"ZEBRONICS Zeb-Buds 30, with In-Line Mic, 3.5mm Jack, 14...",299,3.8
PunnkFunnk Wireless Bluetooth Headphones with Deep Bass...,763,3.8
bAot Wireless B2 Bluetooth Neckband With 50Hrs Playback...,498,3.9
CMF by Nothing Neckband Pro 50dB Active Noise Cancellat...,2099,4.1
Aroma NB119 Pro Belief Upto 48H Playtime* Fast Charging...,249,3.6
"Noise Buds Verve 2 with 50Hr Playtime, ENC, Quad Mic & ...",1099,4.0
